1,81,
2,81,
3,82,
4,82,
5,81,
6,122,
7,82,
8,82,
9,81,
10,81,
11,122,
12,82,
13,82,
14,81,
15,86,
16,90,
17,90,
18,82,
19,92,
20,92,
21,92,
22,90,
23,81,
24,81,
25,87,
26,119,
27,92,
28,92,
29,92,
30,86,
31,82,
32,90,
33,86,
34,86,
35,81,
36,86,
37,81,
38,81,
39,86,
40,86,
41,81,
42,82,
43,81,
44,81,
45,90,
46,90,
47,92,
48,90,
49,144,
50,90,
51,92,
52,92,
53,92,
54,92,
55,92,
56,92,
57,90,
58,90,
59,90,
60,92,
61,92,
62,92,
63,90,
64,92,
65,92,
66,92,
67,92,
68,92,
69,92,
70,92,
71,119,
72,82,
73,82,
74,100,
75,81,
76,81,
77,82,
78,82,
79,81,
80,81,
81,81,
82,731,
83,90,
84,90,
85,92,
86,119,
87,82,
88,82,
89,119,
90,81,
91,81,
92,81,
93,81,
94,92,
95,90,
96,92,
97,92,
98,90,
99,92,
100,90,
101,90,
102,119,
103,92,
104,92,
105,82,
106,82,
107,90,
108,82,
109,81,
110,81,
111,81,
112,92,
113,92,
114,92,
115,90,
116,92,
117,82,
118,80,
119,80,
120,96,
121,90,
122,90,
123,90,
124,92,
125,92,
126,92,
127,92,
128,90,
129,90,
130,90,
131,92,
132,92,
133,92,
134,92,
135,92,
136,92,
137,90,
138,90,
139,90,
140,92,
141,90,
142,90,
143,81,
144,81,
145,81,
146,222,
147,223,
148,85,
149,85,
150,85,
151,85,
152,85,
153,85,
154,85,
155,85,
156,85,
157,85,
158,85,
159,85,
160,85,
161,85,
162,85,
163,85,
164,85,
165,85,
166,85,
167,85,
168,85,
169,85,
170,85,
171,89,
172,85,
173,85,
174,85,
175,85,
176,85,
177,85,
178,85,
179,85,
180,85,
181,85,
182,85,
183,85,
184,85,
185,85,
186,85,
187,91,
188,91,
189,91,
190,91,
191,85,
192,85,
193,85,
194,85,
195,85,
196,85,
197,85,
198,85,
199,85,
200,85,
201,85,
202,85,
203,85,
204,85,
205,85,
206,740,
207,85,
208,85,
209,85,
210,85,
211,85,
212,85,
213,85,
214,85,
215,85,
216,85,
217,91,
218,91,
219,91,
220,85,
221,85,
222,85,
223,85,
224,85,
225,85,
226,85,
227,85,
228,85,
229,85,
230,85,
231,85,
232,85,
233,85,
234,85,
235,85,
236,97,
237,91,
238,91,
239,91,
240,91,
241,91,
242,91,
243,91,
244,91,
245,85,
246,85,
247,85,
248,85,
249,85,
250,85,
